Caccamo comune,Caccamo comune.1
,
Caccamo – VedutaVeduta panoramica di Caccamo,Caccamo – VedutaVeduta panoramica di Caccamo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Franco Fiore (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,37°56′N 13°40′E
Altitudine,521 m s.l.m.
Superficie,"188,23 km²"
Abitanti,7 525[1] (30-11-2025)
Densità,"39,98 ab./km²"
Frazioni,San Giovanni Li Greci
Comuni confinanti,"Alia, Aliminusa, Baucina, Casteldaccia, Ciminna, Montemaggiore Belsito, Roccapalumba, Sciara, Sclafani Bagni, Termini Imerese, Trabia, Ventimiglia di Sicilia, Vicari"
Altre informazioni,Altre informazioni
Cod. postale,90012
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082014
Cod. catastale,B315
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 531 GG[3]"
Nome abitanti,caccamesi
Patrono,"Beato Giovanni Liccio, San Nicasio Martire, San Giorgio"
Giorno festivo,il lunedì dell'ultima settimana di maggio
Cartografia,Cartografia
Caccamo,Caccamo
Caccamo – MappaPosizione del comune di Caccamo nella città metropolitana di Palermo,Caccamo – MappaPosizione del comune di Caccamo nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
