Gratteri comune,Gratteri comune.1
,
Gratteri – Veduta,Gratteri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Francesca De Luca (Commissario Straordinario dal 18-07-2025)
Territorio,Territorio
Coordinate,37°58′N 13°58′E
Altitudine,670 m s.l.m.
Superficie,"38,17 km²"
Abitanti,850[1] (30-11-2025)
Densità,"22,27 ab./km²"
Comuni confinanti,"Cefalù, Collesano, Isnello, Lascari"
Altre informazioni,Altre informazioni
Cod. postale,90010
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082041
Cod. catastale,E149
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 704 GG[3]"
Nome abitanti,gratteresi
Patrono,san Giacomo
Cartografia,Cartografia
Gratteri,Gratteri
Gratteri – MappaPosizione del comune di Gratteri all'interno della città metropolitana di Palermo,Gratteri – MappaPosizione del comune di Gratteri all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
