Isola delle Femmine comune,Isola delle Femmine comune.1
,
Isola delle Femmine – VedutaPanorama di Isola delle Femmine dai monti circostanti,Isola delle Femmine – VedutaPanorama di Isola delle Femmine dai monti circostanti
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Orazio Nevoloso (lista civica) dal 6-10-2020
Territorio,Territorio
Coordinate,38°12′N 13°15′E
Altitudine,7 m s.l.m.
Superficie,"3,57 km²"
Abitanti,6 941[1] (30-11-2025)
Densità,"1 944,26 ab./km²"
Comuni confinanti,"Capaci, Palermo, Torretta"
Altre informazioni,Altre informazioni
Cod. postale,90040
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082043
Cod. catastale,E350
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 631 GG[3]"
Nome abitanti,isolani
Patrono,Madonna delle Grazie
Giorno festivo,2 luglio
Cartografia,Cartografia
Isola delle Femmine,Isola delle Femmine
Isola delle Femmine – MappaPosizione del comune di Isola delle Femmine all'interno della città metropolitana di Palermo,Isola delle Femmine – MappaPosizione del comune di Isola delle Femmine all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
