Campofelice di Roccella comune,Campofelice di Roccella comune.1
,
Campofelice di Roccella – Veduta,Campofelice di Roccella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giuseppe Di Maggio (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,37°59′21.95″N 13°52′16.11″E
Altitudine,54 m s.l.m.
Superficie,"14,51 km²"
Abitanti,7 867[1] (30-11-2025)
Densità,"542,18 ab./km²"
Comuni confinanti,"Collesano, Lascari, Termini Imerese"
Altre informazioni,Altre informazioni
Cod. postale,90010
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082017
Cod. catastale,B532
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 759 GG[3]"
Nome abitanti,campofelicesi
Patrono,santa Rosalia
Giorno festivo,4 settembre
Cartografia,Cartografia
Campofelice di Roccella,Campofelice di Roccella
Campofelice di Roccella – MappaPosizione del comune di Campofelice di Roccella nella città metropolitana di Palermo,Campofelice di Roccella – MappaPosizione del comune di Campofelice di Roccella nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
