Bisacquino comune,Bisacquino comune.1
,
Bisacquino – Veduta,Bisacquino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Tommaso Francesco Di Giorgio (lista civica) dal 7-5-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,37°42′18″N 13°15′36″E
Altitudine,744 m s.l.m.
Superficie,"64,97 km²"
Abitanti,3 955[1] (30-11-2025)
Densità,"60,87 ab./km²"
Frazioni,San Biagio
Comuni confinanti,"Caltabellotta (AG), Campofiorito, Chiusa Sclafani, Contessa Entellina, Corleone, Giuliana, Roccamena, Sambuca di Sicilia (AG)"
Altre informazioni,Altre informazioni
Cod. postale,90032
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082010
Cod. catastale,A882
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 758 GG[3]"
Nome abitanti,bisacquinesi
Patrono,santa Rosalia
Giorno festivo,4 settembre
Cartografia,Cartografia
Bisacquino,Bisacquino
Bisacquino – MappaPosizione del comune di Bisacquino nella città metropolitana di Palermo,Bisacquino – MappaPosizione del comune di Bisacquino nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
