Giuliana comune,Giuliana comune.1
,
Giuliana – Veduta,Giuliana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Francesco Scarpinato (lista civica) dal 10-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,37°40′N 13°14′E
Altitudine,710 m s.l.m.
Superficie,"24,14 km²"
Abitanti,1 623[1] (30-11-2025)
Densità,"67,23 ab./km²"
Comuni confinanti,"Bisacquino, Caltabellotta (AG), Chiusa Sclafani, Contessa Entellina, Sambuca di Sicilia (AG)"
Altre informazioni,Altre informazioni
Cod. postale,90030
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082039
Cod. catastale,E055
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 722 GG[3]"
Nome abitanti,giulianesi
Patrono,"Madonna dell'Udienza e Santa Giuliana di Tolemaide, vergine e martire."
Giorno festivo,3 settembre
Cartografia,Cartografia
Giuliana,Giuliana
Giuliana – MappaPosizione del comune di Giuliana all'interno della città metropolitana di Palermo,Giuliana – MappaPosizione del comune di Giuliana all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
