Borgetto comune,Borgetto comune.1
,
Borgetto – Veduta,Borgetto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Francesco Davì (detto Roberto) (lista civica) dall'11-6-2024
Territorio,Territorio
Coordinate,38°03′N 13°09′E
Altitudine,290 m s.l.m.
Superficie,"26,02 km²"
Abitanti,7 169[1] (30-11-2025)
Densità,"275,52 ab./km²"
Comuni confinanti,"Partinico, Giardinello, Monreale"
Altre informazioni,Altre informazioni
Cod. postale,90042
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082013
Cod. catastale,A991
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 976 GG[3]"
Nome abitanti,borgettani
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Borgetto,Borgetto
Borgetto – MappaPosizione del comune di Borgetto nella città metropolitana di Palermo,Borgetto – MappaPosizione del comune di Borgetto nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
