San Mauro Castelverde comune,San Mauro Castelverde comune.1
,
San Mauro Castelverde – Veduta,San Mauro Castelverde – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giuseppe Minutilla (lista civica) dal 2-6-2015 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,37°54′52″N 14°11′26″E
Altitudine,1 050 m s.l.m.
Superficie,"114,37 km²"
Abitanti,1 283[1] (30-11-2025)
Densità,"11,22 ab./km²"
Frazioni,"Borrello Alto, Borrello Basso, Botindari, Karsa[2]"
Comuni confinanti,"Castel di Lucio (ME), Castelbuono, Geraci Siculo, Pettineo (ME), Pollina, Tusa (ME)"
Altre informazioni,Altre informazioni
Cod. postale,90010
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082065
Cod. catastale,I028
Targa,PA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 240 GG[4]"
Nome abitanti,maurini
Patrono,san Mauro
Giorno festivo,primo martedì di luglio
Cartografia,Cartografia
San Mauro Castelverde,San Mauro Castelverde
San Mauro Castelverde – MappaIl comune di San Mauro Castelverde nella provincia di Palermo,San Mauro Castelverde – MappaIl comune di San Mauro Castelverde nella provincia di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
