Polizzi Generosa comune,Polizzi Generosa comune.1
,
Polizzi Generosa – Veduta,Polizzi Generosa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Gandolfo Librizzi (Lista civica) dal 5-10-2020
Territorio,Territorio
Coordinate,37°48′43″N 13°59′57″E
Altitudine,920[1] m s.l.m.
Superficie,"134,66 km²"
Abitanti,2 756[2] (30-11-2025)
Densità,"20,47 ab./km²"
Comuni confinanti,"Caltavuturo, Castellana Sicula, Isnello, Petralia Sottana, Scillato, Sclafani Bagni, Vallelunga Pratameno (CL), Villalba (CL)"
Altre informazioni,Altre informazioni
Cod. postale,90028
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082058
Cod. catastale,G792
Targa,PA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 037 GG[4]"
Nome abitanti,polizzani
Patrono,San Gandolfo da Binasco
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Polizzi Generosa,Polizzi Generosa
Polizzi Generosa – MappaPosizione del comune di Polizzi Generosa all'interno della città metropolitana di Palermo,Polizzi Generosa – MappaPosizione del comune di Polizzi Generosa all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
