Ustica comune,Ustica comune.1
,
Ustica – VedutaPanorama di Ustica,Ustica – VedutaPanorama di Ustica
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,"Salvatore Militello (lista civica ""L'isola - Militello sindaco"") dal 10-6-2018 (2º mandato dal 29-5-2023)"
Territorio,Territorio
Coordinate,38°42′36″N 13°11′20″E
Altitudine,49 m s.l.m.
Superficie,"8,65 km²"
Abitanti,1 325[1] (30-11-2025)
Densità,"153,18 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,nessuno
Altre informazioni,Altre informazioni
Cod. postale,90051
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082075
Cod. catastale,L519
Targa,PA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 717 GG[4]"
Nome abitanti,usticesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Ustica,Ustica
Ustica – MappaPosizione del comune di Ustica all'interno della città metropolitana di Palermo,Ustica – MappaPosizione del comune di Ustica all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
