Cinisi comune,Cinisi comune.1
,
Cinisi – Veduta,Cinisi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Vera Abbate (Lista civica) dall'11-6-2024
Territorio,Territorio
Coordinate,38°10′N 13°06′E
Altitudine,75 m s.l.m.
Superficie,"33,16 km²"
Abitanti,12 196[1] (30-11-2025)
Densità,"367,79 ab./km²"
Frazioni,"Accitella, Ciciritto, Cipollazzo, Fondorsa, Magaggiari, Piano Cavoli, Piano Margi, Piano Peri, Piano Tavola, Pozzillo, Presti Camarrone, Punta Raisi."
Comuni confinanti,"Carini, Terrasini"
Altre informazioni,Altre informazioni
Cod. postale,90045
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082031
Cod. catastale,C708
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 785 GG[3]"
Nome abitanti,cinisensi
Patrono,santa Fara
Giorno festivo,Prima domenica di luglio
Cartografia,Cartografia
Cinisi,Cinisi
Cinisi – MappaPosizione del comune di Cinisi all'interno della città metropolitana di Palermo,Cinisi – MappaPosizione del comune di Cinisi all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
