Blufi comune,Blufi comune.1
,
Blufi – VedutaVeduta di Blufi dal colle della croce,Blufi – VedutaVeduta di Blufi dal colle della croce
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Calogero Puleo (lista civica) dal 13-06-2022
Territorio,Territorio
Coordinate,37°45′07″N 14°04′27″E
Altitudine,725 m s.l.m.
Superficie,"21,98 km²"
Abitanti,832[1] (30-11-2025)
Densità,"37,85 ab./km²"
Frazioni,"Alleri, Beniscichi, Calabrò, Casalgiordano, Collesani, Ferrarello, Giaia Inferiore, Lupi, Macelli, Nero, Oliva"
Comuni confinanti,"Alimena, Bompietro, Gangi, Petralia Soprana, Petralia Sottana, Resuttano (CL)"
Altre informazioni,Altre informazioni
Cod. postale,90020
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082082
Cod. catastale,M268
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 734 GG[3]"
Nome abitanti,blufesi
Patrono,Madonna dell'Olio
Giorno festivo,martedì dopo Pentecoste
Cartografia,Cartografia
Blufi,Blufi
Blufi – MappaPosizione del comune di Blufi nella città metropolitana di Palermo,Blufi – MappaPosizione del comune di Blufi nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
