Belmonte Mezzagno comune,Belmonte Mezzagno comune.1
,
Belmonte Mezzagno – Veduta,Belmonte Mezzagno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Maurizio Milone (PD) dal 12-6-2022
Data di istituzione,18 Aprile 1752
Territorio,Territorio
Coordinate,38°03′N 13°23′E
Altitudine,356 m s.l.m.
Superficie,"29,29 km²"
Abitanti,10 685[1] (30-11-2025)
Densità,"364,8 ab./km²"
Frazioni,Coda di Volpe[2]Gibilrossa[3].
Comuni confinanti,"Altofonte, Misilmeri, Palermo, Santa Cristina Gela"
Altre informazioni,Altre informazioni
Cod. postale,90031
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082009
Cod. catastale,A764
Targa,PA
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona C, 1 251 GG[5]"
Nome abitanti,belmontesi o mezzagnoti
Patrono,SS. Crocifisso
Giorno festivo,14 settembre
Cartografia,Cartografia
Belmonte Mezzagno,Belmonte Mezzagno
Belmonte Mezzagno – MappaPosizione del comune di Belmonte Mezzagno nella città metropolitana di Palermo,Belmonte Mezzagno – MappaPosizione del comune di Belmonte Mezzagno nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
