Palazzo Adriano comune,Palazzo Adriano comune.1
,
Palazzo Adriano – VedutaPiazza Umberto I con le principali chiese di rito greco-bizantini e latino,Palazzo Adriano – VedutaPiazza Umberto I con le principali chiese di rito greco-bizantini e latino
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Nicolò Granà (lista civica) dal 26-11-2018 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,37°40′53.36″N 13°22′44.63″E
Altitudine,695 m s.l.m.
Superficie,"130,1 km²"
Abitanti,1 699[1] (30-11-2025)
Densità,"13,06 ab./km²"
Comuni confinanti,"Bivona (AG), Burgio (AG), Castronovo di Sicilia, Chiusa Sclafani, Corleone, Lucca Sicula (AG), Prizzi"
Altre informazioni,Altre informazioni
Cod. postale,90030
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082052
Cod. catastale,G263
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 716 GG[3]"
Nome abitanti,palazzesi
Patrono,san Nicola di Mira
Giorno festivo,6 dicembre
Motto,(LA) Universitatis Palatii Adrianii
Cartografia,Cartografia
Palazzo Adriano,Palazzo Adriano
Palazzo Adriano – MappaPosizione del comune di Palazzo Adriano all'interno della città metropolitana di Palermo,Palazzo Adriano – MappaPosizione del comune di Palazzo Adriano all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
