Roccapalumba comune,Roccapalumba comune.1
,
Roccapalumba – Veduta,Roccapalumba – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,"Benito Giunta (lista civica ""Roccapalumba bene in comune"") dal 29-5-2023"
Territorio,Territorio
Coordinate,37°48′N 13°38′E
Altitudine,530 m s.l.m.
Superficie,"31,57 km²"
Abitanti,2 123[1] (30-11-2025)
Densità,"67,25 ab./km²"
Frazioni,Regalgioffoli
Comuni confinanti,"Alia, Caccamo, Castronovo di Sicilia, Lercara Friddi, Vicari"
Altre informazioni,Altre informazioni
Cod. postale,90020
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082062
Cod. catastale,H428
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 457 GG[3]"
Nome abitanti,roccapalumbesi
Patrono,santissimo Crocifisso
Giorno festivo,13 agosto
Cartografia,Cartografia
Roccapalumba,Roccapalumba
Roccapalumba – MappaPosizione del comune di Roccapalumba all'interno della città metropolitana di Palermo,Roccapalumba – MappaPosizione del comune di Roccapalumba all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
