Altofonte comune,Altofonte comune.1
,
Altofonte – Veduta,Altofonte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Angelina De Luca (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,38°02′41″N 13°17′55″E
Altitudine,350 m s.l.m.
Superficie,"35,44 km²"
Abitanti,9 747[1] (30-11-2025)
Densità,"275,03 ab./km²"
Frazioni,"Blandino, Piano Maglio"
Comuni confinanti,"Belmonte Mezzagno, Monreale, Palermo, Piana degli Albanesi, Santa Cristina Gela"
Altre informazioni,Altre informazioni
Cod. postale,90072
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082005
Cod. catastale,A239
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 948 GG[3]"
Nome abitanti,parchitani o altofontini
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Altofonte,Altofonte
Altofonte – MappaPosizione del comune di Altofonte nella città metropolitana di Palermo,Altofonte – MappaPosizione del comune di Altofonte nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
