Bagheria comune,Bagheria comune.1
,
Bagheria – Veduta,Bagheria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Filippo Maria Tripoli (IV) dal 29-4-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,38°05′N 13°30′E
Altitudine,76 m s.l.m.
Superficie,"29,84 km²"
Abitanti,53 160[1] (30-11-2025)
Densità,"1 781,5 ab./km²"
Frazioni,Aspra
Comuni confinanti,"Ficarazzi, Misilmeri, Santa Flavia"
Altre informazioni,Altre informazioni
Cod. postale,90011
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082006
Cod. catastale,A546
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 751 GG[3]"
Nome abitanti,bagheresi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Bagheria,Bagheria
Bagheria – MappaPosizione del comune di Bagheria nella città metropolitana di Palermo,Bagheria – MappaPosizione del comune di Bagheria nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
