Alimena comune,Alimena comune.1
,
Alimena – VedutaVista di Alimena dal Colle Quisisana,Alimena – VedutaVista di Alimena dal Colle Quisisana
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giuseppe Scrivano (LSP) dal 10-6-2018
Territorio,Territorio
Coordinate,37°42′N 14°07′E
Altitudine,750 m s.l.m.
Superficie,"59,7 km²"
Abitanti,1 830[1] (30-11-2025)
Densità,"30,65 ab./km²"
Comuni confinanti,"Blufi, Bompietro, Gangi, Petralia Soprana, Petralia Sottana, Resuttano (CL), Santa Caterina Villarmosa (CL), Villarosa (EN)"
Altre informazioni,Altre informazioni
Cod. postale,90020
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082002
Cod. catastale,A202
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 816 GG[3]"
Nome abitanti,alimenesi
Patrono,santa Maria Maddalena
Giorno festivo,1º settembre
Cartografia,Cartografia
Alimena,Alimena
Alimena – MappaPosizione del comune di Alimena all'interno della città metropolitana di Palermo,Alimena – MappaPosizione del comune di Alimena all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
