Mezzojuso comune,Mezzojuso comune.1
,
Mezzojuso – VedutaLe chiese principali,Mezzojuso – VedutaLe chiese principali
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giuseppe Lopes (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,37°52′N 13°28′E
Altitudine,546 m s.l.m.
Superficie,"49,27 km²"
Abitanti,2 520[1] (30-11-2025)
Densità,"51,15 ab./km²"
Frazioni,"Baglio Carcilupo, Filippo Turati, Fondaco Tavolacci, Pignaro,"
Comuni confinanti,"Campofelice di Fitalia, Cefalà Diana, Ciminna, Corleone, Godrano, Villafrati"
Altre informazioni,Altre informazioni
Cod. postale,90030
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082047
Cod. catastale,F184
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 546 GG[3]"
Nome abitanti,mezzojusari o arbëreshë/munxifsarë
Patrono,san Nicola di Mira
Giorno festivo,6 dicembre
Cartografia,Cartografia
Mezzojuso,Mezzojuso
Mezzojuso – MappaPosizione del comune di Mezzojuso all'interno della città metropolitana di Palermo,Mezzojuso – MappaPosizione del comune di Mezzojuso all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
