Piana degli Albanesi comune,Piana degli Albanesi comune.1
(IT) Comune di Piana degli Albanesi (AAE) Bashkia e Horës së Arbëreshëvet,(IT) Comune di Piana degli Albanesi (AAE) Bashkia e Horës së Arbëreshëvet
(dettagli),(dettagli)
Piana degli Albanesi – VedutaPanorama di Piana degli Albanesi,Piana degli Albanesi – VedutaPanorama di Piana degli Albanesi
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Rosario Petta (lista civica di centro-destra) dal 16-6-2022
Territorio,Territorio
Coordinate,38°00′N 13°17′E
Altitudine,740 m s.l.m.
Superficie,"64,92 km²"
Abitanti,5 184[1] (30-11-2025)
Densità,"79,85 ab./km²"
Frazioni,"Borgo Aquila, Case Cantoniere Sant'Agata-Rossella, Scanzano"
Comuni confinanti,"Altofonte, Monreale, Santa Cristina Gela"
Altre informazioni,Altre informazioni
Lingue,italiano arbërisht (albanese)
Cod. postale,90037
Prefisso,091-857
Fuso orario,UTC+1
Codice ISTAT,082057
Cod. catastale,G543
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 711 GG[3]"
Nome abitanti,pianesi o arbëreshë[4]
Patrono,Maria SS.ma Odigitria San Demetrio Megalomartire San Giorgio Megalomartire
Giorno festivo,"2 settembre, 26 ottobre, 23 aprile"
Soprannome,"Badia, Sheshi, Kazallot, Fusha e Arbëreshëvet[5]"
Motto,Nobilis Planæ Albanensium Civitas
Cartografia,Cartografia
Piana degli Albanesi,Piana degli Albanesi
Piana degli Albanesi – MappaPosizione del comune di Piana degli Albanesi nella città metropolitana di Palermo,Piana degli Albanesi – MappaPosizione del comune di Piana degli Albanesi nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
