Caltavuturo comune,Caltavuturo comune.1
,
Caltavuturo – Veduta,Caltavuturo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Salvatore Di Carlo (lista civica) dal 4-10-2020
Territorio,Territorio
Coordinate,37°49′N 13°53′E
Altitudine,635 m s.l.m.
Superficie,"97,95 km²"
Abitanti,3 327[1] (30-11-2025)
Densità,"33,97 ab./km²"
Comuni confinanti,"Polizzi Generosa, Scillato, Sclafani Bagni, Castellana Sicula"
Altre informazioni,Altre informazioni
Lingue,"italiano, siciliano"
Cod. postale,90022
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082015
Cod. catastale,B430
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 664 GG[3]"
Nome abitanti,caltavuturesi
Patrono,Maria Santissima del Soccorso
Giorno festivo,10 settembre
PIL procapite,(nominale) 11.748
Cartografia,Cartografia
Caltavuturo,Caltavuturo
Caltavuturo – MappaPosizione del comune di Caltavuturo all'interno della città metropolitana di Palermo,Caltavuturo – MappaPosizione del comune di Caltavuturo all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
