Ciminna comune,Ciminna comune.1
,
Ciminna – Veduta,Ciminna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Vito Filippo Barone (lista civica) dal 13-6-2017
Territorio,Territorio
Coordinate,37°54′N 13°34′E
Altitudine,486 m s.l.m.
Superficie,"56,42 km²"
Abitanti,3 317[1] (30-11-2025)
Densità,"58,79 ab./km²"
Comuni confinanti,"Baucina, Caccamo, Campofelice di Fitalia, Mezzojuso, Ventimiglia di Sicilia, Vicari, Villafrati"
Altre informazioni,Altre informazioni
Cod. postale,90023
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082030
Cod. catastale,C696
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 545 GG[3]"
Nome abitanti,ciminnesi
Patrono,san Vito
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Ciminna,Ciminna
Ciminna – MappaPosizione del comune di Ciminna all'interno della città metropolitana di Palermo,Ciminna – MappaPosizione del comune di Ciminna all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
