Castellana Sicula comune,Castellana Sicula comune.1
,
Castellana Sicula – Veduta,Castellana Sicula – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Calderaro Francesco (FI) dall'11-6-2017
Territorio,Territorio
Coordinate,37°47′N 14°03′E
Altitudine,765 m s.l.m.
Superficie,"73,2 km²"
Abitanti,2 885[1] (30-11-2025)
Densità,"39,41 ab./km²"
Frazioni,"Calcarelli, Catalani, Dona Legge, Frazzucchi, Nociazzi"
Comuni confinanti,"Caltavuturo, Petralia Sottana, Polizzi Generosa, Villalba (CL)"
Altre informazioni,Altre informazioni
Cod. postale,90020
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082024
Cod. catastale,C135
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 835 GG[3]"
Nome abitanti,castellanesi
Patrono,san Francesco di Paola
Cartografia,Cartografia
Castellana Sicula,Castellana Sicula
Castellana Sicula – MappaPosizione del comune di Castellana Sicula all'interno della città metropolitana di Palermo,Castellana Sicula – MappaPosizione del comune di Castellana Sicula all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
