Ficarazzi comune,Ficarazzi comune.1
,
Ficarazzi – VedutaLa chiesa madre di Sant'Atanasio,Ficarazzi – VedutaLa chiesa madre di Sant'Atanasio
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giovanni Giallombardo dal 13-06-2022
Territorio,Territorio
Coordinate,38°05′32.24″N 13°27′50.04″E
Altitudine,23 m s.l.m.
Superficie,"3,53[1] km²"
Abitanti,12 910[2] (30-11-2025)
Densità,"3 657,22 ab./km²"
Frazioni,Contrada de Simone
Comuni confinanti,"Bagheria, Misilmeri, Palermo, Villabate"
Altre informazioni,Altre informazioni
Cod. postale,90010
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082035
Cod. catastale,D567
Targa,PA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 791 GG[4]"
Nome abitanti,ficarazzesi o ficarazzoti
Patrono,Santissimo Crocifisso delle Grazie
Giorno festivo,14 settembre
Cartografia,Cartografia
Ficarazzi,Ficarazzi
Ficarazzi – MappaPosizione del comune di Ficarazzi all'interno della città metropolitana di Palermo,Ficarazzi – MappaPosizione del comune di Ficarazzi all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
