Castelbuono comune,Castelbuono comune.1
,
Castelbuono – VedutaVeduta,Castelbuono – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Mario Cicero (lista civica -centro-sinistra) dal 13-6-2022
Territorio,Territorio
Coordinate,37°55′50″N 14°05′18″E
Altitudine,423 m s.l.m.
Superficie,"60,79 km²"
Abitanti,7 882[1] (30-11-2025)
Densità,"129,66 ab./km²"
Frazioni,"Liccia, San Guglielmo"
Comuni confinanti,"Cefalù, Geraci Siculo, Isnello, Petralia Sottana, Pollina, San Mauro Castelverde"
Altre informazioni,Altre informazioni
Cod. postale,90013
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082022
Cod. catastale,C067
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 321 GG[3]"
Nome abitanti,castelbuonesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Castelbuono,Castelbuono
Castelbuono – MappaPosizione del comune di Castelbuono nella città metropolitana di Palermo,Castelbuono – MappaPosizione del comune di Castelbuono nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
