Altavilla Milicia comune,Altavilla Milicia comune.1
,
Altavilla Milicia – VedutaLa costiera altavillese,Altavilla Milicia – VedutaLa costiera altavillese
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giuseppe Virga (lista civica) dal 29-11-2016 (2º mandato dal 14-6-2022)
Data di istituzione,15 settembre 1621
Territorio,Territorio
Coordinate,38°02′32″N 13°33′01″E
Altitudine,73 m s.l.m.
Superficie,"23,78 km²"
Abitanti,9 062[1] (30-11-2025)
Densità,"381,08 ab./km²"
Comuni confinanti,"Casteldaccia, Trabia"
Altre informazioni,Altre informazioni
Cod. postale,90010
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082004
Cod. catastale,A229
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 869 GG[3]"
Nome abitanti,altavillesi
Cartografia,Cartografia
Altavilla Milicia,Altavilla Milicia
Altavilla Milicia – MappaIl comune di Altavilla Milicia all'interno della provincia di Palermo,Altavilla Milicia – MappaIl comune di Altavilla Milicia all'interno della provincia di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
