Casteldaccia comune,Casteldaccia comune.1
,
Casteldaccia – VedutaEmanuele De Stefano: Litorale di Casteldaccia (1857),Casteldaccia – VedutaEmanuele De Stefano: Litorale di Casteldaccia (1857)
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giovanni Di Giacinto (LSP) dall'11-6-2018
Territorio,Territorio
Coordinate,38°03′N 13°32′E
Altitudine,79 m s.l.m.
Superficie,"33,92 km²"
Abitanti,11 767[1] (30-11-2025)
Densità,"346,9 ab./km²"
Comuni confinanti,"Altavilla Milicia, Baucina, Bolognetta, Caccamo, Misilmeri, Santa Flavia, Trabia, Ventimiglia di Sicilia"
Altre informazioni,Altre informazioni
Cod. postale,90014
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082023
Cod. catastale,C074
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 879 GG[3]"
Nome abitanti,casteldaccesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Casteldaccia,Casteldaccia
Casteldaccia – MappaPosizione del comune di Casteldaccia nella città metropolitana di Palermo,Casteldaccia – MappaPosizione del comune di Casteldaccia nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
