Castronovo di Sicilia comune,Castronovo di Sicilia comune.1
,
Castronovo di Sicilia – VedutaPanoramica di Colle San Vitale e del castello Normanno di Castronovo,Castronovo di Sicilia – VedutaPanoramica di Colle San Vitale e del castello Normanno di Castronovo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Vitale Gattuso (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,37°40′N 13°36′E
Altitudine,660 m s.l.m.
Superficie,"201,04 km²"
Abitanti,2 731[1] (30-11-2025)
Densità,"13,58 ab./km²"
Frazioni,Marcatobianco
Comuni confinanti,"Alia, Bivona (AG), Cammarata (AG), Lercara Friddi, Palazzo Adriano, Prizzi, Roccapalumba, Santo Stefano Quisquina (AG), Sclafani Bagni, Vallelunga Pratameno (CL)"
Altre informazioni,Altre informazioni
Cod. postale,90030
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082025
Cod. catastale,C344
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 627 GG[3]"
Nome abitanti,castronovesi
Patrono,san Vitale
Giorno festivo,9 marzo
Cartografia,Cartografia
Castronovo di Sicilia,Castronovo di Sicilia
Castronovo di Sicilia – MappaPosizione del comune di Castronovo di Sicilia all'interno della città metropolitana di Palermo,Castronovo di Sicilia – MappaPosizione del comune di Castronovo di Sicilia all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
