Terrasini Favarotta comune,Terrasini Favarotta comune.1
,
Terrasini Favarotta – VedutaPanorama aereo di Terrasini e della sua costa,Terrasini Favarotta – VedutaPanorama aereo di Terrasini e della sua costa
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giosuè Maniaci (lista civica) dal 13-10-2021
Territorio,Territorio
Coordinate,38°09′N 13°05′E
Altitudine,32 m s.l.m.
Superficie,"19,85 km²"
Abitanti,13 115[1] (30-11-2025)
Densità,"660,71 ab./km²"
Frazioni,"Cala Rossa, Capo Rama, Agliandroni, Femmina Morta, Paterna, Paternella, Serra, Stazzone, cacciatori, cala porro, gazzara, bagliuso, craparia, milioto, cipollazzo, amorosi, San Cataldo, Zucco"
Comuni confinanti,"Carini, Cinisi, Partinico, Trappeto"
Altre informazioni,Altre informazioni
Cod. postale,90049
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082071
Cod. catastale,L131
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 720 GG[3]"
Nome abitanti,terrasinesi o Favaruttari
Patrono,Maria Santissima delle Grazie
Giorno festivo,8 settembre
Cartografia,Cartografia
Terrasini Favarotta,Terrasini Favarotta
Terrasini Favarotta – MappaPosizione del comune di Terrasini all'interno della città metropolitana di Palermo,Terrasini Favarotta – MappaPosizione del comune di Terrasini all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
