Termini Imerese comune,Termini Imerese comune.1
,
Termini Imerese – Veduta,Termini Imerese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Maria Terranova (M5S) dal 5-10-2020
Territorio,Territorio
Coordinate,37°59′N 13°42′E
Altitudine,77 m s.l.m.
Superficie,"78,19 km²"
Abitanti,24 659[1] (30-11-2025)
Densità,"315,37 ab./km²"
Frazioni,"Buonfornello, Contrada Calcasacco, Contrada Caracoli, Contrada Chianche, Contrada Chiarera, Contrada San Girolamo Alto, Contrada San Girolamo Basso, Danigarci, Villaggio Tedeschi, Villaurea"
Comuni confinanti,"Caccamo, Campofelice di Roccella, Cerda, Collesano, Sciara, Trabia"
Altre informazioni,Altre informazioni
Cod. postale,90018
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082070
Cod. catastale,L112
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 864 GG[3]"
Nome abitanti,"termitani, tirminisi (siciliano)"
Patrono,Beato Agostino Novello
Giorno festivo,19 maggio
Cartografia,Cartografia
Termini Imerese,Termini Imerese
Termini Imerese – MappaPosizione del comune di Termini Imerese nella città metropolitana di Palermo,Termini Imerese – MappaPosizione del comune di Termini Imerese nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
