Gangi comune,Gangi comune.1
,
Gangi – VedutaVeduta,Gangi – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,"Giuseppe Ferrarello (lista civica ""Giuseppe Ferrarello Sindaco #Progetto Comune"") dal 13-6-2022"
Territorio,Territorio
Coordinate,37°48′N 14°12′E
Altitudine,1 011 m s.l.m.
Superficie,"127,47 km²"
Abitanti,5 936[1] (30-11-2025)
Densità,"46,57 ab./km²"
Comuni confinanti,"Alimena, Blufi, Bompietro, Calascibetta (EN), Enna (EN), Geraci Siculo, Nicosia (EN), Petralia Soprana (PA), Sperlinga (EN)"
Altre informazioni,Altre informazioni
Cod. postale,90024
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082036
Cod. catastale,D907
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 179 GG[3]"
Nome abitanti,gangitani
Patrono,san Cataldo
Giorno festivo,Lunedì di Pentecoste
Cartografia,Cartografia
Gangi,Gangi
Gangi – MappaPosizione del comune di Gangi all'interno della città metropolitana di Palermo,Gangi – MappaPosizione del comune di Gangi all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
