Cefalà Diana comune,Cefalà Diana comune.1
,
Cefalà Diana – Veduta,Cefalà Diana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,"Giuseppe Virgilio Cangialosi (lista civica ""Leali per cambiare - Cangialosi sindaco"") dal 10-6-2018"
Territorio,Territorio
Coordinate,37°55′N 13°28′E
Altitudine,563 m s.l.m.
Superficie,"9,06 km²"
Abitanti,963[1] (30-11-2025)
Densità,"106,29 ab./km²"
Comuni confinanti,"Marineo, Mezzojuso, Villafrati"
Altre informazioni,Altre informazioni
Cod. postale,90030
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082026
Cod. catastale,C420
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 526 GG[3]"
Nome abitanti,dianesi
Patrono,S.Francesco di Paola
Giorno festivo,17 agosto
Cartografia,Cartografia
Cefalà Diana,Cefalà Diana
Cefalà Diana – MappaPosizione del comune di Cefalà Diana all'interno della città metropolitana di Palermo,Cefalà Diana – MappaPosizione del comune di Cefalà Diana all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
