Campofiorito comune,Campofiorito comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giuseppe Oddo (Di Con Per Campofiorito - Giuseppe Oddo Sindaco) dal 10-6-2013
Territorio,Territorio
Coordinate,37°45′N 13°16′E
Altitudine,660 m s.l.m.
Superficie,"21,7 km²"
Abitanti,1 117[1] (30-11-2025)
Densità,"51,47 ab./km²"
Comuni confinanti,"Bisacquino, Chiusa Sclafani, Contessa Entellina, Corleone, Giuliana"
Altre informazioni,Altre informazioni
Cod. postale,90030
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082018
Cod. catastale,B535
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 627 GG[3]"
Nome abitanti,"campofioritani, secondo l'uso volgare, ufficialmente: campofiorisani o campofioritesi Patrono: Santo Stefano, Compatrono: San Giuseppe - Giorno festivo: 19 marzo."
Cartografia,Cartografia
Campofiorito,Campofiorito
Campofiorito – MappaPosizione del comune di Campofiorito all'interno della città metropolitana di Palermo,Campofiorito – MappaPosizione del comune di Campofiorito all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
