Lercara Friddi comune,Lercara Friddi comune.1
,
Lercara Friddi – Veduta,Lercara Friddi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Luciano Marino (DC) dall'11-6-2018
Territorio,Territorio
Coordinate,37°45′N 13°36′E
Altitudine,670 m s.l.m.
Superficie,"37,43 km²"
Abitanti,6 041[1] (30-11-2025)
Densità,"161,39 ab./km²"
Comuni confinanti,"Castronovo di Sicilia, Prizzi, Roccapalumba, Vicari"
Altre informazioni,Altre informazioni
Cod. postale,90025
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082045
Cod. catastale,E541
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 574 GG[3]"
Nome abitanti,lercaresi
Patrono,Maria Santissima di Costantinopoli
Giorno festivo,19-21 agosto
Cartografia,Cartografia
Lercara Friddi,Lercara Friddi
Lercara Friddi – MappaPosizione del comune di Lercara Friddi all'interno della città metropolitana di Palermo,Lercara Friddi – MappaPosizione del comune di Lercara Friddi all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
