Ventimiglia di Sicilia comune,Ventimiglia di Sicilia comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Girolamo Anzalone (lista civica NOI per Ventimiglia) dal 29-5-2023
Territorio,Territorio
Coordinate,37°55′N 13°34′E
Altitudine,540 m s.l.m.
Superficie,"26,9 km²"
Abitanti,1 710[1] (30-11-2025)
Densità,"63,57 ab./km²"
Comuni confinanti,"Baucina, Bolognetta, Caccamo, Casteldaccia, Ciminna"
Altre informazioni,Altre informazioni
Cod. postale,90020
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082077
Cod. catastale,L740
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 561 GG[3]"
Nome abitanti,ventimigliesi/Calamignari
Patrono,Maria SS. del Rosario
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Ventimiglia di Sicilia,Ventimiglia di Sicilia
Ventimiglia di Sicilia – MappaPosizione del comune di Ventimiglia di Sicilia all'interno della città metropolitana di Palermo,Ventimiglia di Sicilia – MappaPosizione del comune di Ventimiglia di Sicilia all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
