San Giuseppe Jato comune,San Giuseppe Jato comune.1
,
San Giuseppe Jato – Veduta,San Giuseppe Jato – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giuseppe Cosmo Siviglia (Forza Italia) dal 24 ottobre 2023[1]
Territorio,Territorio
Coordinate,37°58′N 13°11′E
Altitudine,463 m s.l.m.
Superficie,"29,78 km²"
Abitanti,7 888[2] (30-11-2025)
Densità,"264,88 ab./km²"
Comuni confinanti,"Monreale, San Cipirello"
Altre informazioni,Altre informazioni
Cod. postale,90048
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082064
Cod. catastale,H933
Targa,PA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 317 GG[4]"
Nome abitanti,"jatini, sangiuseppari"
Patrono,Maria SS. della Provvidenza
Giorno festivo,13 agosto - 16 agosto
Cartografia,Cartografia
San Giuseppe Jato,San Giuseppe Jato
San Giuseppe Jato – MappaPosizione del comune di San Giuseppe Jato all'interno della città metropolitana di Palermo,San Giuseppe Jato – MappaPosizione del comune di San Giuseppe Jato all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
