Godrano comune,Godrano comune.1
,
Godrano – Veduta,Godrano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Sebastiano Daniele Bellini (lista civica) dal 6-10-2020
Territorio,Territorio
Coordinate,37°54′N 13°26′E
Altitudine,693 m s.l.m.
Superficie,"38,99 km²"
Abitanti,982[1] (30-11-2025)
Densità,"25,19 ab./km²"
Comuni confinanti,"Corleone, Marineo, Mezzojuso, Monreale"
Altre informazioni,Altre informazioni
Cod. postale,90030
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082040
Cod. catastale,E074
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 748 GG[3]"
Nome abitanti,godranesi
Patrono,san Giuseppe
Giorno festivo,3 settembre
Cartografia,Cartografia
Godrano,Godrano
Godrano – MappaPosizione del comune di Godrano all'interno della città metropolitana di Palermo,Godrano – MappaPosizione del comune di Godrano all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
