Cefalù comune,Cefalù comune.1
,
Cefalù – VedutaPanorama di Cefalù,Cefalù – VedutaPanorama di Cefalù
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Daniele Tumminello (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,38°02′22.13″N 14°01′19.42″E
Altitudine,16 m s.l.m.
Superficie,"66,24 km²"
Abitanti,13 867[1] (30-11-2025)
Densità,"209,34 ab./km²"
Frazioni,Sant'Ambrogio
Comuni confinanti,"Castelbuono, Gratteri, Isnello, Lascari, Pollina"
Altre informazioni,Altre informazioni
Cod. postale,90015
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082027
Cod. catastale,C421
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 702 GG[3]"
Nome abitanti,cefaludesi
Patrono,"Santissimo Salvatore, Immacolata Concezione[4]"
Giorno festivo,"6 agosto, 8 dicembre"
Cartografia,Cartografia
Cefalù,Cefalù
Cefalù – MappaPosizione del comune di Cefalù all'interno della città metropolitana di Palermo,Cefalù – MappaPosizione del comune di Cefalù all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
