Vicari comune,Vicari comune.1
,
"Vicari – VedutaLa cuba ""araba"" di Vicari","Vicari – VedutaLa cuba ""araba"" di Vicari"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Antonio Miceli (lista civica Uniti con passione - Miceli sindaco - Lista civica Vicarese) dal 10-6-2018
Territorio,Territorio
Coordinate,37°50′N 13°34′E
Altitudine,640 m s.l.m.
Superficie,"86,01 km²"
Abitanti,2 350[1] (30-11-2025)
Densità,"27,32 ab./km²"
Comuni confinanti,"Caccamo, Campofelice di Fitalia, Ciminna, Lercara Friddi, Prizzi, Roccapalumba"
Altre informazioni,Altre informazioni
Cod. postale,90020
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082078
Cod. catastale,L837
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 719 GG[3]"
Nome abitanti,vicaresi
Patrono,San Giorgio martire e Santa Rosalia
Giorno festivo,23 maggio e 24 settembre
Cartografia,Cartografia
Vicari,Vicari
Vicari – MappaPosizione del comune di Vicari all'interno della città metropolitana di Palermo,Vicari – MappaPosizione del comune di Vicari all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
