Carini comune,Carini comune.1
,
Carini – VedutaPanorama di Carini dal castello,Carini – VedutaPanorama di Carini dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giuseppe Monteleone (PD) dal 1-6-2015 (2º mandato dal 5-10-2020)
Territorio,Territorio
Coordinate,38°08′N 13°11′E
Altitudine,181 m s.l.m.
Superficie,"76,6[1] km²"
Abitanti,41 130[2] (30-11-2025)
Densità,"536,95 ab./km²"
Frazioni,"Bivio Foresta, Carini Scalo, Case Sparse, Fondo Dominici, Fondo Zucco, Giummari, Manostalla, Margi, Parco degli Ulivi, Piraineto, Torre Ciachea, Villagrazia, Villagrazia di Carini."
Comuni confinanti,"Capaci, Cinisi, Giardinello, Monreale, Montelepre, Partinico, Terrasini, Torretta"
Altre informazioni,Altre informazioni
Cod. postale,90044
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082021
Cod. catastale,B780
Targa,PA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 788 GG[4]"
Nome abitanti,carinesi
Patrono,Santissimo Crocifisso
Giorno festivo,14 settembre
Cartografia,Cartografia
Carini,Carini
Carini – MappaPosizione del comune di Carini all'interno della città metropolitana di Palermo,Carini – MappaPosizione del comune di Carini all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
