Santa Flavia comune,Santa Flavia comune.1
,
Santa Flavia – VedutaLa baia di Sant'Elia,Santa Flavia – VedutaLa baia di Sant'Elia
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,"Giuseppe D’Agostino (lista civica ""Alternativa Comune"") dal 13-06-2022"
Territorio,Territorio
Coordinate,38°05′N 13°32′E
Altitudine,55 m s.l.m.
Superficie,"14,6 km²"
Abitanti,10 984[1] (30-11-2025)
Densità,"752,33 ab./km²"
Frazioni,"Porticello, Sant'Elia, Solanto"
Comuni confinanti,"Bagheria, Casteldaccia, Misilmeri"
Altre informazioni,Altre informazioni
Cod. postale,90017
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082067
Cod. catastale,I188
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 796 GG[3]"
Nome abitanti,flavesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Santa Flavia,Santa Flavia
Santa Flavia – MappaPosizione del comune di Santa Flavia all'interno della città metropolitana di Palermo,Santa Flavia – MappaPosizione del comune di Santa Flavia all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
