Baveno comune,Baveno comune.1
,
Baveno – VedutaIl municipio,Baveno – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Alessandro Monti (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,45°54′N 8°30′E
Altitudine,205 m s.l.m.
Superficie,"17,1 km²"
Abitanti,4 498[1] (30-11-2025)
Densità,"263,04 ab./km²"
Frazioni,"Feriolo, Loita, Oltrefiume, Romanico, Roncaro"
Comuni confinanti,"Gravellona Toce, Stresa, Verbania"
Altre informazioni,Altre informazioni
Cod. postale,28831
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103008
Cod. catastale,A725
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 436 GG[3]"
Nome abitanti,bavenesi
Patrono,santi Gervasio e Protasio
Giorno festivo,19 giugno
Motto,Forza - Virtù
Cartografia,Cartografia
Baveno,Baveno
Baveno – MappaPosizione di Baveno nella provincia del Verbano-Cusio-Ossola,Baveno – MappaPosizione di Baveno nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
