Aurano comune,Aurano comune.1
,
Aurano – VedutaPanorama di Aurano da Intragna,Aurano – VedutaPanorama di Aurano da Intragna
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Davide Molinari (lista civica) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°00′01.37″N 8°35′17.59″E
Altitudine,683 m s.l.m.
Superficie,"21,16 km²"
Abitanti,109[1] (30-11-2025)
Densità,"5,15 ab./km²"
Frazioni,"Alpe Piaggia, Alpe Segletta, Scareno, La Selva"
Comuni confinanti,"Cannero Riviera, Intragna, Miazzina, Oggebbio, Premeno, Trarego Viggiona, Valle Cannobina"
Altre informazioni,Altre informazioni
Cod. postale,28812
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103005
Cod. catastale,A497
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 192 GG[3]"
Nome abitanti,auranesi
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Aurano,Aurano
Aurano – MappaPosizione di Aurano nella provincia del Verbano-Cusio-Ossola,Aurano – MappaPosizione di Aurano nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
