Ceppo Morelli comune,Ceppo Morelli comune.1
,
Ceppo Morelli – Veduta,Ceppo Morelli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Giovanni Consagra (Le parole della montagna) dal 27-5-2019
Territorio,Territorio
Coordinate,45°58′N 8°04′E
Altitudine,753 m s.l.m.
Superficie,"40,19 km²"
Abitanti,284[1] (30-11-2025)
Densità,"7,07 ab./km²"
Frazioni,"Borgone, Campioli, Canfinello, Croppo, Mondelli, Prequartera"
Comuni confinanti,"Antrona Schieranco, Bannio Anzino, Carcoforo (VC), Macugnaga, Saas Almagell (CH-VS), Vanzone con San Carlo"
Altre informazioni,Altre informazioni
Cod. postale,28875
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103021
Cod. catastale,C478
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 283 GG[3]"
Nome abitanti,ceppomorellesi
Cartografia,Cartografia
Ceppo Morelli,Ceppo Morelli
Ceppo Morelli – MappaPosizione di Ceppo Morelli nella provincia del Verbano-Cusio-Ossola,Ceppo Morelli – MappaPosizione di Ceppo Morelli nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
