Santa Maria Maggiore comune,Santa Maria Maggiore comune.1
,
Santa Maria Maggiore – VedutaVeduta,Santa Maria Maggiore – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Claudio Cottini (lista civica) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°08′N 8°28′E
Altitudine,816 m s.l.m.
Superficie,"53,71 km²"
Abitanti,1 307[1] (30-11-2025)
Densità,"24,33 ab./km²"
Frazioni,"Buttogno, Crana"
Comuni confinanti,"Campo (CH-TI), Craveggia, Druogno, Malesco, Masera, Montecrestese, Onsernone (CH-TI), Toceno, Trontano"
Altre informazioni,Altre informazioni
Cod. postale,28857[2] (fino al 1997 era 28038)
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103062
Cod. catastale,I249
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 365 GG[4]"
Nome abitanti,maggioritani
Patrono,Maria Santissima Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Santa Maria Maggiore,Santa Maria Maggiore
Santa Maria Maggiore – MappaPosizione di Santa Maria Maggiore nella provincia del Verbano-Cusio-Ossola,Santa Maria Maggiore – MappaPosizione di Santa Maria Maggiore nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
