Piedimulera comune,Piedimulera comune.1
,
Piedimulera – Veduta,Piedimulera – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Alessandro Lana (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,46°01′25″N 8°15′33″E
Altitudine,247 m s.l.m.
Superficie,"7,57[1] km²"
Abitanti,1 433[2] (30-11-2025)
Densità,"189,3 ab./km²"
Frazioni,"Aprì, Catarnallo, Cimamulera, Colletto, Crosa, Gozzi di Sopra, Gozzi di Sotto, La Piana, Madonna, Meggiana, Mezzamulera, Morlongo, Pairazzi, San Giuseppe"
Comuni confinanti,"Calasca-Castiglione, Pallanzeno, Pieve Vergonte, Vogogna"
Altre informazioni,Altre informazioni
Cod. postale,28885
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103053
Cod. catastale,G600
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 510 GG[4]"
Nome abitanti,piedimuleresi
Patrono,san Giorgio
Giorno festivo,7 aprile
Cartografia,Cartografia
Piedimulera,Piedimulera
Piedimulera – MappaPosizione di Piedimulera nella provincia del Verbano-Cusio-Ossola,Piedimulera – MappaPosizione di Piedimulera nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
