Stresa comune,Stresa comune.1
,
Stresa – VedutaVeduta di Stresa e del Lago Maggiore dalla frazione di Levo,Stresa – VedutaVeduta di Stresa e del Lago Maggiore dalla frazione di Levo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Marcella Severino (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,45°53′01″N 8°32′22″E
Altitudine,207 m s.l.m.
Superficie,"35,36 km²"
Abitanti,4 551[1] (30-11-2025)
Densità,"128,7 ab./km²"
Frazioni,"Alpino, Binda, Brisino, Campino, Carciano, I Falchetti, Isola Bella, Isola Madre, Isola dei Pescatori, Levo, Magognino, Mottarone, Passera, La Sacca, Alle Sale, Someraro, Vedasco"
Comuni confinanti,"Baveno, Belgirate, Brovello-Carpugnino, Gignese, Gravellona Toce, Laveno-Mombello (VA), Leggiuno (VA), Lesa (NO), Omegna, Verbania"
Altre informazioni,Altre informazioni
Cod. postale,28838
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103064
Cod. catastale,I976
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 430 GG[3]"
Nome abitanti,stresiani
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Stresa,Stresa
Stresa – MappaPosizione di Stresa nella provincia del Verbano-Cusio-Ossola,Stresa – MappaPosizione di Stresa nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
