Ornavasso comune,Ornavasso comune.1
,
Ornavasso – VedutaIl Santuario della Madonna del Boden,Ornavasso – VedutaIl Santuario della Madonna del Boden
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Filippo Cigala Fulgosi (lista civica Ornavasso con Migiandone) dal 26-5-2014 (3º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°58′N 8°24′E
Altitudine,215 m s.l.m.
Superficie,"25,92 km²"
Abitanti,3 301[2] (30-11-2025)
Densità,"127,35 ab./km²"
Frazioni,Migiandone
Comuni confinanti,"Anzola d'Ossola, Casale Corte Cerro, Gravellona Toce, Mergozzo, Premosello-Chiovenda, Valstrona"
Altre informazioni,Altre informazioni
Cod. postale,28877
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103051
Cod. catastale,G117
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 584 GG[4]"
Nome abitanti,ornavassesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Ornavasso,Ornavasso
Ornavasso – MappaPosizione del comune di Ornavasso nella provincia del Verbano-Cusio-Ossola,Ornavasso – MappaPosizione del comune di Ornavasso nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
