Gurro comune,Gurro comune.1
,
Gurro – Veduta,Gurro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Luigi Valter Costantini (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,46°05′09.24″N 8°34′12.04″E
Altitudine,812 m s.l.m.
Superficie,"13,29 km²"
Abitanti,160[1] (30-11-2025)
Densità,"12,04 ab./km²"
Comuni confinanti,"Miazzina, Valle Cannobina"
Altre informazioni,Altre informazioni
Cod. postale,28828
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103036
Cod. catastale,E269
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 360 GG[3]"
Nome abitanti,gurresi
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Gurro,Gurro
Gurro – MappaPosizione di Gurro nella provincia del Verbano-Cusio-Ossola,Gurro – MappaPosizione di Gurro nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
