Domodossola comune,Domodossola comune.1
,
Domodossola – VedutaDomodossola dal Sacro Monte Calvario,Domodossola – VedutaDomodossola dal Sacro Monte Calvario
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Fortunato Lucio Pizzi (lista civica Lucio Pizzi Sindaco) dal 20-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,46°06′58″N 8°17′28″E
Altitudine,272 m s.l.m.
Superficie,"36,89 km²"
Abitanti,17 620[1] (30-11-2025)
Densità,"477,64 ab./km²"
Frazioni,nessuna[2]; vedi elenco borgate
Comuni confinanti,"Beura-Cardezza, Bognanco, Crevoladossola, Masera, Montescheno, Trontano, Villadossola"
Altre informazioni,Altre informazioni
Cod. postale,I-28845 CH-3907 (ufficio postale svizzero)
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103028
Cod. catastale,D332
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 542 GG[4]"
Nome abitanti,domesi
Patrono,santi Gervasio e Protasio
Giorno festivo,19 giugno
Cartografia,Cartografia
Domodossola,Domodossola
Domodossola – MappaPosizione del comune di Domodossola nella provincia del Verbano-Cusio-Ossola,Domodossola – MappaPosizione del comune di Domodossola nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
