Pieve Vergonte comune,Pieve Vergonte comune.1
,
Pieve Vergonte – Veduta,Pieve Vergonte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Maria Grazia Medali (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,46°00′21″N 8°16′09″E
Altitudine,232 m s.l.m.
Superficie,"41,67 km²"
Abitanti,2 409[1] (30-11-2025)
Densità,"57,81 ab./km²"
Frazioni,"Pieve capoluogo, Loro, Rumianca, Megolo, Fomarco[2]"
Comuni confinanti,"Anzola d'Ossola, Calasca-Castiglione, Massiola, Piedimulera, Premosello-Chiovenda, Valstrona, Vogogna"
Altre informazioni,Altre informazioni
Cod. postale,28886
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103054
Cod. catastale,G658
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 490 GG[4]"
Nome abitanti,pievesi
Patrono,santi Vincenzo ed Anastasio
Giorno festivo,22 gennaio
Cartografia,Cartografia
Pieve Vergonte,Pieve Vergonte
Pieve Vergonte – MappaPosizione del comune di Pieve Vergonte nella provincia del Verbano-Cusio-Ossola,Pieve Vergonte – MappaPosizione del comune di Pieve Vergonte nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
