Antrona Schieranco comune,Antrona Schieranco comune.1
,
Antrona Schieranco – VedutaLa chiesa di San Lorenzo (destra) ed il municipio (sinistra),Antrona Schieranco – VedutaLa chiesa di San Lorenzo (destra) ed il municipio (sinistra)
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Franco Borsotti (Antrona Sviluppo E Tradizione) dal 9-6-2024
Territorio,Territorio
Coordinate,46°04′N 8°07′E
Altitudine,902 m s.l.m.
Superficie,"100,18 km²"
Abitanti,391[1] (30-11-2025)
Densità,"3,9 ab./km²"
Frazioni,"San Pietro, Pra Bernardo Inferiore e Superiore, Schieranco, Locasca, Rovesca, Antronapiana[2]"
Comuni confinanti,"Bognanco, Borgomezzavalle, Calasca-Castiglione, Ceppo Morelli, Montescheno, Saas-Almagell (CH-VS), Vanzone con San Carlo, Zwischbergen (CH-VS)"
Altre informazioni,Altre informazioni
Cod. postale,28841[3] (fino al 1997 era 28030)
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103001
Cod. catastale,A317
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 3 477 GG[5]"
Nome abitanti,antronesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Antrona Schieranco,Antrona Schieranco
Antrona Schieranco – MappaPosizione del comune di Antrona Schieranco nella provincia del Verbano-Cusio-Ossola,Antrona Schieranco – MappaPosizione del comune di Antrona Schieranco nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
