San Bernardino Verbano comune,San Bernardino Verbano comune.1
,
San Bernardino Verbano – VedutaL'abitato della frazione Rovegro,San Bernardino Verbano – VedutaL'abitato della frazione Rovegro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Mariarosa Loiodice (chiamata JoJo) (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°57′N 8°31′E
Altitudine,304 m s.l.m.
Superficie,"26,68 km²"
Abitanti,1 225[1] (30-11-2025)
Densità,"45,91 ab./km²"
Frazioni,"Bieno, Rovegro, Santino"
Comuni confinanti,"Cossogno, Mergozzo, Premosello-Chiovenda, Verbania"
Altre informazioni,Altre informazioni
Cod. postale,28804
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103061
Cod. catastale,H777
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 565 GG[3]"
Nome abitanti,sanbernardinesi
Patrono,sant'Antonio Abate
Cartografia,Cartografia
San Bernardino Verbano,San Bernardino Verbano
San Bernardino Verbano – MappaPosizione del comune di San Bernardino Verbano nella provincia del Verbano-Cusio-Ossola,San Bernardino Verbano – MappaPosizione del comune di San Bernardino Verbano nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
