Craveggia comune,Craveggia comune.1
,
Craveggia – Vedutaveduta su Craveggia,Craveggia – Vedutaveduta su Craveggia
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Paolo Giovanola (lista civica Craveggia Vocogno Prestinone Insieme) dall'8-6-2009 (4º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,46°08′26″N 8°29′23″E
Altitudine,889 m s.l.m.
Superficie,"36,22 km²"
Abitanti,788[1] (30-11-2025)
Densità,"21,76 ab./km²"
Frazioni,"Bagni di Craveggia, Prestinone, Siberia, Vocogno[2]"
Comuni confinanti,"Malesco, Onsernone (CH-TI), Re, Santa Maria Maggiore, Toceno, Villette"
Altre informazioni,Altre informazioni
Cod. postale,28852
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103024
Cod. catastale,D134
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 460 GG[4]"
Nome abitanti,"craveggiesi (in dialetto ""craugiain"")"
Patrono,san Giacomo e san Cristoforo
Giorno festivo,25 luglio
Motto,Bene agendo ne timeas
Cartografia,Cartografia
Craveggia,Craveggia
Craveggia – MappaPosizione di Craveggia nella provincia del Verbano-Cusio-Ossola,Craveggia – MappaPosizione di Craveggia nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
