Quarna Sopra comune,Quarna Sopra comune.1
,
Quarna Sopra – VedutaLa chiesa parrocchiale,Quarna Sopra – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Giuliana Pettinaroli (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°52′26″N 8°22′23″E
Altitudine,860 m s.l.m.
Superficie,"9,39 km²"
Abitanti,242[1] (30-11-2025)
Densità,"25,77 ab./km²"
Comuni confinanti,"Germagno, Loreglia, Omegna, Quarna Sotto, Valstrona"
Altre informazioni,Altre informazioni
Cod. postale,28898
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103058
Cod. catastale,H106
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 422 GG[3]"
Nome abitanti,quarnesi
Patrono,santo Stefano
Cartografia,Cartografia
Quarna Sopra,Quarna Sopra
Quarna Sopra – MappaPosizione di Quarna Sopra nella provincia del Verbano-Cusio-Ossola,Quarna Sopra – MappaPosizione di Quarna Sopra nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
