Nonio comune,Nonio comune.1
,
Nonio – Veduta,Nonio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Piero Ernesto Minazzi (lista civica) dal 27-5-2019 (secondo mandato dal 9-06-2024)
Territorio,Territorio
Coordinate,45°50′46″N 8°22′39″E
Altitudine,476 m s.l.m.
Superficie,"9,8 km²"
Abitanti,823[1] (30-11-2025)
Densità,"83,98 ab./km²"
Frazioni,"Brolo, Oira, Pra della Marta"
Comuni confinanti,"Cesara, Omegna, Pella (NO), Pettenasco (NO), Quarna Sotto, Varallo (VC)"
Altre informazioni,Altre informazioni
Cod. postale,28891
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103048
Cod. catastale,F932
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 889 GG[3]"
Nome abitanti,noniesi
Cartografia,Cartografia
Nonio,Nonio
Nonio – MappaPosizione di Nonio nella provincia del Verbano-Cusio-Ossola,Nonio – MappaPosizione di Nonio nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
