Belgirate comune,Belgirate comune.1
,
Belgirate – VedutaVista dell'abitato dalla Chiesa Vecchia,Belgirate – VedutaVista dell'abitato dalla Chiesa Vecchia
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Flavia Filippi dal 15-5-2023
Territorio,Territorio
Coordinate,45°50′39.94″N 8°34′40.27″E
Altitudine,199 m s.l.m.
Superficie,"7,13 km²"
Abitanti,449[1] (30-11-2025)
Densità,"62,97 ab./km²"
Comuni confinanti,"Besozzo (VA), Brebbia (VA), Ispra (VA), Leggiuno (VA), Lesa (NO), Monvalle (VA), Stresa"
Altre informazioni,Altre informazioni
Cod. postale,28832
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,103010
Cod. catastale,A742
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 428 GG[3]"
Nome abitanti,belgiratesi
Patrono,Purificazione di Maria Vergine
Cartografia,Cartografia
Belgirate,Belgirate
Belgirate – MappaPosizione di Belgirate nella provincia del Verbano-Cusio-Ossola,Belgirate – MappaPosizione di Belgirate nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
