Madonna del Sasso comune,Madonna del Sasso comune.1
,
Madonna del Sasso – VedutaIl municipio in frazione Boleto,Madonna del Sasso – VedutaIl municipio in frazione Boleto
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Ezio Barbetta (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°48′N 8°22′E
Altitudine,696 m s.l.m.
Superficie,"15,41 km²"
Abitanti,345[1] (30-11-2025)
Densità,"22,39 ab./km²"
Frazioni,"Artò, Boleto (sede comunale), Centonara, Piana dei Monti"
Comuni confinanti,"Arola, Cellio con Breia (VC), Cesara, Civiasco (VC), Pella (NO), Pogno (NO), San Maurizio d'Opaglio (NO), Valduggia (VC), Varallo (VC)"
Altre informazioni,Altre informazioni
Cod. postale,"28894, 28010 (vecchio)"
Prefisso,"0322, 0163"
Fuso orario,UTC+1
Codice ISTAT,103040
Cod. catastale,E795
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 209 GG[3]"
Nome abitanti,boletesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Madonna del Sasso,Madonna del Sasso
Madonna del Sasso – MappaPosizione di Madonna del Sasso nella provincia del Verbano-Cusio-Ossola,Madonna del Sasso – MappaPosizione di Madonna del Sasso nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
