Bannio Anzino comune,Bannio Anzino comune.1
,
Bannio Anzino – Veduta,Bannio Anzino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Pierfranco Bonfadini (lista civica) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°59′05″N 8°08′46″E
Altitudine,669 m s.l.m.
Superficie,"39,47 km²"
Abitanti,455[1] (30-11-2025)
Densità,"11,53 ab./km²"
Frazioni,"Anzino, Bannio (sede comunale), Pontegrande Località: Case Fornari, Case Prucci, Case Rovazzi, Castelletto, Fontane, Gaggieto, Parcineto, Scalaccia, Valpiana[2]"
Comuni confinanti,"Calasca-Castiglione, Carcoforo (VC), Ceppo Morelli, Fobello (VC), Rimella (VC), Vanzone con San Carlo"
Altre informazioni,Altre informazioni
Cod. postale,28871
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103007
Cod. catastale,A610
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 174 GG[4]"
Nome abitanti,"banniesi, anzinesi"
Patrono,"Madonna della Neve, san Bartolomeo a Bannio, san Bernardo da Mentone e sant'Antonio da Padova ad Anzino"
Giorno festivo,"5 agosto, 13 giugno"
Cartografia,Cartografia
Bannio Anzino,Bannio Anzino
Bannio Anzino – MappaPosizione di Bannio Anzino nella provincia del Verbano-Cusio-Ossola,Bannio Anzino – MappaPosizione di Bannio Anzino nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
