Caprezzo comune,Caprezzo comune.1
,
Caprezzo – VedutaVista su Caprezzo con la chiesa di San Bartolomeo e sullo sfondo la chiesetta della Madonna del Sasso,Caprezzo – VedutaVista su Caprezzo con la chiesa di San Bartolomeo e sullo sfondo la chiesetta della Madonna del Sasso
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Massimo Bocci (Guardiamo al futuro) dal 10-6-2024
Territorio,Territorio
Coordinate,45°59′N 8°34′E
Altitudine,530 m s.l.m.
Superficie,"7,26 km²"
Abitanti,180[1] (30-11-2025)
Densità,"24,79 ab./km²"
Frazioni,Ponte Nivia
Comuni confinanti,"Cambiasca, Intragna, Miazzina, Vignone"
Altre informazioni,Altre informazioni
Cod. postale,28815
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103018
Cod. catastale,B694
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 993 GG[3]"
Nome abitanti,caprezzesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Caprezzo,Caprezzo
Caprezzo – MappaPosizione di Caprezzo nella provincia del Verbano-Cusio-Ossola,Caprezzo – MappaPosizione di Caprezzo nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
