Macugnaga comune,Macugnaga comune.1
,
Macugnaga – VedutaVeduta della frazione Staffa,Macugnaga – VedutaVeduta della frazione Staffa
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Capoluogo,Staffa
Sindaco,Commissario Prefettizio (lista civica) dal 04-10-2021
Territorio,Territorio
Coordinate del capoluogo,45°58′N 7°58′E
Altitudine,1 327 m s.l.m.
Superficie,"99,57 km²"
Abitanti,487[1] (30-11-2025)
Densità,"4,89 ab./km²"
Frazioni,"Pecetto (superiore e inferiore), Opaco, Ripa, Dorf, Staffa (sede comunale), Testa, Isella, Motta, Borca, Fornarelli, Pestarena, Stabioli."
Comuni confinanti,"Alagna Valsesia (VC), Alto Sermenza (VC), Carcoforo (VC), Ceppo Morelli, Saas Almagell (CH-VS), Zermatt (CH-VS)"
Altre informazioni,Altre informazioni
Lingue,"italiano, walser"
Cod. postale,28876
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103039
Cod. catastale,E790
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 030 GG[3]"
Nome abitanti,macugnaghesi
Patrono,Assunzione di Maria in Cielo
Giorno festivo,15 agosto
Cartografia,Cartografia
Staffa,Staffa
Macugnaga – MappaPosizione di Macugnaga nella provincia del Verbano-Cusio-Ossola,Macugnaga – MappaPosizione di Macugnaga nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
