Intragna comune,Intragna comune.1
,
Intragna – Veduta,Intragna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Tiziano Morandi (lista civica) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°59′38″N 8°34′22″E
Altitudine,729 m s.l.m.
Superficie,"9,92 km²"
Abitanti,87[1] (30-11-2025)
Densità,"8,77 ab./km²"
Comuni confinanti,"Aurano, Caprezzo, Miazzina, Premeno, Vignone"
Altre informazioni,Altre informazioni
Cod. postale,"28816, 28050 (fino al 1997)"
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103037
Cod. catastale,E304
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 252 GG[3]"
Nome abitanti,intragnesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Intragna,Intragna
Intragna – MappaPosizione di Intragna nella provincia del Verbano-Cusio-Ossola,Intragna – MappaPosizione di Intragna nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
