Trontano comune,Trontano comune.1
,
"Trontano – VedutaTrontano, frazione Castello","Trontano – VedutaTrontano, frazione Castello"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Renzo Viscardi (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,46°07′20″N 8°20′00″E
Altitudine,520 m s.l.m.
Superficie,"56,74 km²"
Abitanti,1 644[1] (30-11-2025)
Densità,"28,97 ab./km²"
Frazioni,"Casello, Castello, Chiesa, Cimui, Cocco, Cosa, Cosasca, Croppo, Grignaschi, Marone, Melezzo, Paiesco, Pigiaia, Pello, Porcelli, Premazzasca, Ronco, Scarepi, Quara, Quarata, Ventriago, Verigo"
Comuni confinanti,"Beura-Cardezza, Cossogno, Domodossola, Druogno, Malesco, Masera, Premosello-Chiovenda, Santa Maria Maggiore"
Altre informazioni,Altre informazioni
Cod. postale,28859
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103068
Cod. catastale,L450
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 980 GG[3]"
Nome abitanti,trontanesi
Patrono,Natività di Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Trontano,Trontano
Trontano – MappaPosizione di Trontano nella provincia del Verbano-Cusio-Ossola,Trontano – MappaPosizione di Trontano nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
