Montescheno comune,Montescheno comune.1
,
Montescheno – Veduta,Montescheno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Dario Ricchi (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,46°04′N 8°14′E
Altitudine,512 m s.l.m.
Superficie,"22,17 km²"
Abitanti,355[1] (30-11-2025)
Densità,"16,01 ab./km²"
Frazioni,"Barboniga, Cad Mater, Cat Pera, Cresti, Croppo, Ovesco, Progno, Sasso, Selve, Valeggia, Vallemiola, Zonca"
Comuni confinanti,"Antrona Schieranco, Bognanco, Borgomezzavalle, Domodossola, Villadossola"
Altre informazioni,Altre informazioni
Cod. postale,28843
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103047
Cod. catastale,F639
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 970 GG[3]"
Nome abitanti,monteschenesi
Patrono,san Carlo Borromeo
Giorno festivo,4 novembre
Cartografia,Cartografia
Montescheno,Montescheno
Montescheno – MappaPosizione di Montescheno nella provincia del Verbano-Cusio-Ossola,Montescheno – MappaPosizione di Montescheno nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
